"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother"	"Age of Mother Code"	"Marital Status"	"Marital Status Code"	"Education"	"Education Code"	Births
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"8th grade or less"	"1"	1840
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	6875
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	11531
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	6474
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	902
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	488
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Master's degree (MA, MS)"	"7"	23
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	4
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	419
	"2007"	"2007"	"January"	"1"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Excluded"	"999"	25405
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"8th grade or less"	"1"	1859
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	2923
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"High school graduate or GED completed"	"3"	7681
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"Some college credit, but not a degree"	"4"	7410
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	3418
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	8569
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	2355
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	435
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	689
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Married"	"1"	"Excluded"	"999"	30863
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"8th grade or less"	"1"	1586
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	3514
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	5762
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	3689
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	946
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	908
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Master's degree (MA, MS)"	"7"	125
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	20
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	348
	"2007"	"2007"	"January"	"1"	"25-29 years"	"25-29"	"Unmarried"	"2"	"Excluded"	"999"	15233
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"8th grade or less"	"1"	1614
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	1935
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"High school graduate or GED completed"	"3"	4755
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Some college credit, but not a degree"	"4"	5088
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	2935
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	9891
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	4507
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	1223
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	882
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Married"	"1"	"Excluded"	"999"	29095
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"8th grade or less"	"1"	978
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	1449
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	2394
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	1634
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	532
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	589
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Master's degree (MA, MS)"	"7"	140
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	38
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	195
	"2007"	"2007"	"January"	"1"	"30-34 years"	"30-34"	"Unmarried"	"2"	"Excluded"	"999"	7073
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"8th grade or less"	"1"	969
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	915
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"High school graduate or GED completed"	"3"	2610
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Some college credit, but not a degree"	"4"	2472
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	1537
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	5390
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	2472
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	883
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	584
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Married"	"1"	"Excluded"	"999"	16001
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"8th grade or less"	"1"	455
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	624
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	1055
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	709
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	281
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	355
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Master's degree (MA, MS)"	"7"	113
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	43
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	107
	"2007"	"2007"	"January"	"1"	"35-39 years"	"35-39"	"Unmarried"	"2"	"Excluded"	"999"	3292
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"8th grade or less"	"1"	278
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	186
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"High school graduate or GED completed"	"3"	591
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Some college credit, but not a degree"	"4"	574
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	347
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	1006
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	482
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	222
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	136
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Married"	"1"	"Excluded"	"999"	3352
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"8th grade or less"	"1"	96
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	148
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	280
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	161
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	74
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	103
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Master's degree (MA, MS)"	"7"	28
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	24
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	39
	"2007"	"2007"	"January"	"1"	"40-44 years"	"40-44"	"Unmarried"	"2"	"Excluded"	"999"	840
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"8th grade or less"	"1"	19
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	7
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"High school graduate or GED completed"	"3"	27
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Some college credit, but not a degree"	"4"	29
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	28
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	73
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	38
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	14
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	22
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Married"	"1"	"Excluded"	"999"	235
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"8th grade or less"	"1"	6
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	10
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	13
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	5
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	1
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	9
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Master's degree (MA, MS)"	"7"	5
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	4
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	4
	"2007"	"2007"	"January"	"1"	"45-49 years"	"45-49"	"Unmarried"	"2"	"Excluded"	"999"	53
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"8th grade or less"	"1"	2
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	2
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Some college credit, but not a degree"	"4"	2
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	2
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	2
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	6
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	1
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	1
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Married"	"1"	"Excluded"	"999"	23
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	2
	"2007"	"2007"	"January"	"1"	"50-54 years"	"50-54"	"Unmarried"	"2"	"Excluded"	"999"	7
	"2007"	"2007"	"February"	"2"	"Under 15 years"	"15"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	3
	"2007"	"2007"	"February"	"2"	"Under 15 years"	"15"	"Married"	"1"	"Excluded"	"999"	1
	"2007"	"2007"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"8th grade or less"	"1"	177
	"2007"	"2007"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	86
	"2007"	"2007"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	8
	"2007"	"2007"	"February"	"2"	"Under 15 years"	"15"	"Unmarried"	"2"	"Excluded"	"999"	241
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"8th grade or less"	"1"	283
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	1129
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"High school graduate or GED completed"	"3"	1047
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"Some college credit, but not a degree"	"4"	314
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	18
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	2
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	46
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Married"	"1"	"Excluded"	"999"	2189
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"8th grade or less"	"1"	934
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	8624
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	4639
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	1254
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	35
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	3
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	279
	"2007"	"2007"	"February"	"2"	"15-19 years"	"15-19"	"Unmarried"	"2"	"Excluded"	"999"	13771
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"8th grade or less"	"1"	1253
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	2894
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"High school graduate or GED completed"	"3"	6472
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Some college credit, but not a degree"	"4"	4749
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	1158
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	1241
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	89
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	14
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	347
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Married"	"1"	"Excluded"	"999"	15248
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"8th grade or less"	"1"	1594
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	6148
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	10497
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Some college credit, but not a degree"	"4"	6006
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Associate degree (AA, AS)"	"5"	798
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Bachelor's degree (BA, AB, BS)"	"6"	441
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Master's degree (MA, MS)"	"7"	22
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	4
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Unknown/Not on certificate"	"Unk"	471
	"2007"	"2007"	"February"	"2"	"20-24 years"	"20-24"	"Unmarried"	"2"	"Excluded"	"999"	23277
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"8th grade or less"	"1"	1691
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"9th through 12th grade with no diploma"	"2"	2479
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"High school graduate or GED completed"	"3"	6957
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Some college credit, but not a degree"	"4"	6879
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Associate degree (AA, AS)"	"5"	3082
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Bachelor's degree (BA, AB, BS)"	"6"	8162
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Master's degree (MA, MS)"	"7"	2330
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	421
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Unknown/Not on certificate"	"Unk"	673
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Married"	"1"	"Excluded"	"999"	29234
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"8th grade or less"	"1"	1363
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"9th through 12th grade with no diploma"	"2"	3141
	"2007"	"2007"	"February"	"2"	"25-29 years"	"25-29"	"Unmarried"	"2"	"High school graduate or GED completed"	"3"	5246
